transactionId,farmerId,logisticsId,shipmentDatetime,shipmentDate,shipmentTime,dataSource,generatorVersion,origin,originState,originCity,originHub,destination,destinationState,destinationCity,destinationMarket,season,routeDistanceKm,quantitySentCrates,averageCrateWeightKg,quantitySentKg,pricePerCrateNgn,packagingType,transportMode,roadCondition,checkpointDelayHours,vehicleBreakdown,coldStorageAvailable,storageType,hoursSinceHarvestAtDispatch,storageDelayHours,ripenessLevel,initialDamageLevel,handlingQuality,humidityPercent,transitTimeHours,averageTemperatureC,spoilageStatus,spoilageStatusLabel,spoilageRatePercent,quantitySpoiledCrates,quantityDeliveredCrates,potentialRevenueNgn,deliveredRevenueNgn,financialLossNgn
TXN-2026-000015,FRM-282,LOG-84,2026-05-16T05:00:00,2026-05-16,05:00:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,906.7,236,26.7,6301.2,20989,Plastic Crate,Traditional Open Truck,Fair,2.0,No,Yes,Cold Storage,16.8,9.4,Overripe,None,Poor,70.3,30.9,31.6,0,Not Spoiled,5.9,14,222,4953404,4659558,293846
TXN-2026-000016,FRM-837,LOG-48,2026-09-17T09:45:00,2026-09-17,09:45:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Onitsha,Anambra,Onitsha,N/A,Rainy Season,567.7,228,23.8,5426.4,20931,Sack,Refrigerated Reefer Van,Good,2.0,No,No,Open Storage,6.3,9.9,Semi-ripe,Severe,Fair,82.7,14.6,13.5,0,Not Spoiled,4.9,11,217,4772268,4542027,230241
TXN-2026-000017,FRM-774,LOG-20,2026-05-26T13:30:00,2026-05-26,13:30:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Ibadan (Bodija),Oyo,Ibadan,Bodija,Rainy Season,1043.8,222,23.9,5305.8,19561,Raffia Basket,Traditional Open Truck,Fair,1.0,No,No,Open Storage,29.4,16.0,Unripe,None,Poor,69.0,33.8,33.7,1,Spoiled,47.5,105,117,4342542,2288637,2053905
TXN-2026-000018,FRM-280,LOG-99,2026-09-23T12:00:00,2026-09-23,12:00:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,922.1,166,22.8,3784.8,22407,Wooden Crate,Covered Truck,Poor,0.0,No,No,No Storage,17.8,16.1,Ripe,Low,Fair,88.3,30.1,27.1,0,Not Spoiled,3.5,6,160,3719562,3585120,134442
TXN-2026-000019,FRM-741,LOG-40,2026-05-21T12:00:00,2026-05-21,12:00:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Ibadan (Bodija),Oyo,Ibadan,Bodija,Rainy Season,833.5,119,24.0,2856.0,17191,Plastic Crate,Covered Truck,Good,1.0,No,Yes,Cold Storage,32.4,6.0,Unripe,None,Fair,85.8,21.6,28.6,0,Not Spoiled,2.0,2,117,2045729,2011347,34382
TXN-2026-000020,FRM-460,LOG-48,2026-07-19T18:45:00,2026-07-19,18:45:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Onitsha,Anambra,Onitsha,N/A,Rainy Season,902.3,106,23.6,2501.6,17015,Raffia Basket,Traditional Open Truck,Poor,2.0,No,No,No Storage,18.5,17.7,Semi-ripe,Moderate,Poor,67.3,31.4,31.2,1,Spoiled,63.7,68,38,1803590,646570,1157020
TXN-2026-000021,FRM-434,LOG-53,2026-07-14T09:45:00,2026-07-14,09:45:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,911.1,170,22.1,3757.0,16911,Wooden Crate,Covered Truck,Good,0.0,No,No,No Storage,20.3,17.1,Overripe,Low,Fair,83.1,22.5,25.9,0,Not Spoiled,6.8,12,158,2874870,2671938,202932
TXN-2026-000022,FRM-865,LOG-24,2026-03-25T09:00:00,2026-03-25,09:00:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,1290.5,197,26.1,5141.7,11659,Raffia Basket,Traditional Open Truck,Fair,6.0,No,No,Shaded Storage,34.6,13.9,Semi-ripe,Moderate,Good,62.4,43.1,33.3,1,Spoiled,67.6,133,64,2296823,746176,1550647
TXN-2026-000023,FRM-530,LOG-72,2026-02-24T11:30:00,2026-02-24,11:30:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,1077.8,161,23.1,3719.1,11567,Wooden Crate,Covered Truck,Good,1.0,No,No,No Storage,19.7,10.7,Ripe,Moderate,Poor,50.8,26.3,35.3,0,Not Spoiled,11.0,18,143,1862287,1654081,208206
TXN-2026-000024,FRM-286,LOG-72,2026-04-19T10:30:00,2026-04-19,10:30:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,733.3,275,25.6,7040.0,20017,Plastic Crate,Traditional Open Truck,Fair,0.0,No,No,Open Storage,31.9,4.3,Ripe,Low,Good,72.9,23.0,27.9,0,Not Spoiled,0.0,0,275,5504675,5504675,0
TXN-2026-000025,FRM-535,LOG-80,2026-06-19T10:45:00,2026-06-19,10:45:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,707.8,114,23.4,2667.6,16239,Raffia Basket,Traditional Open Truck,Poor,6.0,No,Yes,Open Storage,26.5,5.0,Semi-ripe,Moderate,Poor,87.5,31.9,27.5,1,Spoiled,66.4,76,38,1851246,617082,1234164
TXN-2026-000026,FRM-155,LOG-80,2026-05-30T16:15:00,2026-05-30,16:15:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,1234.2,273,22.1,6033.3,19150,Plastic Crate,Traditional Open Truck,Fair,0.0,No,No,Shaded Storage,11.7,1.2,Ripe,Low,Poor,86.9,35.3,32.0,0,Not Spoiled,5.7,16,257,5227950,4921550,306400
TXN-2026-000027,FRM-909,LOG-89,2026-04-26T17:45:00,2026-04-26,17:45:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Onitsha,Anambra,Onitsha,N/A,Rainy Season,791.9,126,27.2,3427.2,20187,Raffia Basket,Traditional Open Truck,Good,0.0,No,No,Shaded Storage,35.7,3.8,Semi-ripe,Moderate,Fair,65.1,21.6,30.0,0,Not Spoiled,7.6,10,116,2543562,2341692,201870
TXN-2026-000028,FRM-980,LOG-68,2026-02-06T15:15:00,2026-02-06,15:15:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,826.8,158,22.7,3586.6,11077,Plastic Crate,Traditional Open Truck,Fair,1.0,No,No,Open Storage,9.6,14.8,Unripe,Low,Good,49.1,26.3,33.0,0,Not Spoiled,1.8,3,155,1750166,1716935,33231
TXN-2026-000029,FRM-718,LOG-42,2026-01-14T06:15:00,2026-01-14,06:15:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,1228.1,197,22.2,4373.4,13506,Plastic Crate,Covered Truck,Fair,2.0,No,No,Open Storage,27.7,8.9,Ripe,Moderate,Poor,65.0,33.0,30.7,1,Spoiled,48.2,95,102,2660682,1377612,1283070
TXN-2026-000030,FRM-190,LOG-50,2026-05-10T10:00:00,2026-05-10,10:00:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,1210.4,218,27.2,5929.6,15523,Raffia Basket,Covered Truck,Fair,1.0,No,No,Shaded Storage,17.7,4.8,Unripe,Low,Fair,65.8,31.6,28.9,0,Not Spoiled,5.8,13,205,3384014,3182215,201799
TXN-2026-000031,FRM-195,LOG-38,2026-02-28T12:00:00,2026-02-28,12:00:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Onitsha,Anambra,Onitsha,N/A,Dry Season,873.3,288,26.3,7574.4,10523,Plastic Crate,Traditional Open Truck,Poor,1.0,No,No,Open Storage,19.3,16.6,Semi-ripe,Moderate,Poor,62.7,32.7,36.7,0,Not Spoiled,8.4,24,264,3030624,2778072,252552
TXN-2026-000032,FRM-957,LOG-85,2026-10-24T15:45:00,2026-10-24,15:45:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Onitsha,Anambra,Onitsha,N/A,Rainy Season,847.2,187,24.9,4656.3,15551,Wooden Crate,Traditional Open Truck,Fair,1.0,No,No,Shaded Storage,13.3,6.9,Ripe,Low,Poor,89.7,28.0,31.4,0,Not Spoiled,0.0,0,187,2908037,2908037,0
TXN-2026-000033,FRM-137,LOG-26,2026-09-15T14:30:00,2026-09-15,14:30:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Onitsha,Anambra,Onitsha,N/A,Rainy Season,1013.7,75,25.2,1890.0,21569,Plastic Crate,Traditional Open Truck,Fair,4.0,No,No,No Storage,17.5,6.1,Ripe,Low,Fair,88.2,35.4,28.0,0,Not Spoiled,6.5,5,70,1617675,1509830,107845
TXN-2026-000034,FRM-732,LOG-18,2026-05-01T15:30:00,2026-05-01,15:30:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,868.3,161,27.9,4491.9,21556,Plastic Crate,Covered Truck,Fair,1.0,No,Yes,Cold Storage,27.9,1.0,Ripe,None,Good,83.4,23.9,22.3,0,Not Spoiled,8.3,13,148,3470516,3190288,280228
TXN-2026-000035,FRM-697,LOG-28,2026-04-29T12:30:00,2026-04-29,12:30:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,917.5,220,22.1,4862.0,21306,Raffia Basket,Covered Truck,Good,0.0,No,No,Open Storage,29.4,11.5,Overripe,Moderate,Good,75.4,22.1,25.3,1,Spoiled,45.9,101,119,4687320,2535414,2151906
TXN-2026-000036,FRM-949,LOG-94,2026-07-22T09:00:00,2026-07-22,09:00:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Onitsha,Anambra,Onitsha,N/A,Rainy Season,1052.8,263,27.4,7206.2,15033,Raffia Basket,Traditional Open Truck,Poor,4.0,No,No,Open Storage,11.7,13.0,Ripe,Moderate,Fair,82.5,40.6,28.0,0,Not Spoiled,8.3,22,241,3953679,3622953,330726
TXN-2026-000037,FRM-434,LOG-63,2026-03-31T08:15:00,2026-03-31,08:15:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,769.4,262,23.0,6026.0,10979,Wooden Crate,Traditional Open Truck,Good,2.0,No,No,Open Storage,33.1,1.4,Overripe,Severe,Good,48.9,23.1,39.9,0,Not Spoiled,9.6,25,237,2876498,2602023,274475
TXN-2026-000038,FRM-565,LOG-57,2026-12-11T16:30:00,2026-12-11,16:30:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,938.3,77,26.0,2002.0,11922,Raffia Basket,Traditional Open Truck,Fair,0.0,Yes,No,Open Storage,18.0,8.4,Ripe,Severe,Fair,36.3,35.5,39.5,1,Spoiled,51.8,40,37,917994,441114,476880
TXN-2026-000039,FRM-860,LOG-99,2026-10-04T11:15:00,2026-10-04,11:15:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,1212.5,263,24.9,6548.7,21372,Raffia Basket,Traditional Open Truck,Fair,1.0,No,No,No Storage,15.9,1.8,Overripe,None,Fair,75.7,37.4,25.3,1,Spoiled,42.6,112,151,5620836,3227172,2393664
TXN-2026-000040,FRM-754,LOG-86,2026-01-11T05:30:00,2026-01-11,05:30:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,780.8,251,25.4,6375.4,10226,Wooden Crate,Refrigerated Reefer Van,Poor,0.0,No,No,Shaded Storage,4.3,16.2,Ripe,None,Good,43.8,23.4,22.4,1,Spoiled,21.7,54,197,2566726,2014522,552204
TXN-2026-000041,FRM-371,LOG-16,2026-03-06T16:45:00,2026-03-06,16:45:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Lagos (Mile 12),Lagos,Lagos,Mile 12,Dry Season,1114.2,171,24.7,4223.7,11702,Raffia Basket,Covered Truck,Fair,6.0,Yes,No,No Storage,14.3,11.9,Ripe,Low,Good,64.7,43.2,29.5,0,Not Spoiled,10.4,18,153,2001042,1790406,210636
TXN-2026-000042,FRM-167,LOG-26,2026-05-21T14:30:00,2026-05-21,14:30:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,977.6,166,25.0,4150.0,21196,Wooden Crate,Traditional Open Truck,Fair,1.0,No,No,No Storage,16.6,7.7,Ripe,None,Fair,84.7,30.4,27.4,0,Not Spoiled,9.8,16,150,3518536,3179400,339136
TXN-2026-000043,FRM-168,LOG-21,2026-02-13T06:45:00,2026-02-13,06:45:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,1321.2,257,22.8,5859.6,11737,Raffia Basket,Traditional Open Truck,Good,1.0,No,No,No Storage,4.0,7.6,Overripe,Low,Fair,38.6,37.9,33.9,0,Not Spoiled,3.0,8,249,3016409,2922513,93896
TXN-2026-000044,FRM-476,LOG-24,2026-05-23T14:15:00,2026-05-23,14:15:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,1177.6,205,27.6,5658.0,18734,Plastic Crate,Traditional Open Truck,Fair,2.0,No,No,Shaded Storage,30.2,15.7,Semi-ripe,None,Fair,65.8,35.9,30.8,0,Not Spoiled,0.0,0,205,3840470,3840470,0
TXN-2026-000045,FRM-432,LOG-82,2026-11-02T06:00:00,2026-11-02,06:00:00,Synthetic prototype,1.0.0,Kaduna (Zaria),Kaduna,Zaria,N/A,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,802.2,243,25.7,6245.1,10050,Raffia Basket,Covered Truck,Fair,1.0,No,Yes,Open Storage,24.9,2.0,Semi-ripe,Moderate,Fair,58.3,21.6,26.1,0,Not Spoiled,0.0,0,243,2442150,2442150,0
TXN-2026-000046,FRM-885,LOG-27,2026-05-11T09:30:00,2026-05-11,09:30:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Lagos (Mile 12),Lagos,Lagos,Mile 12,Rainy Season,1114.5,177,26.5,4690.5,18326,Wooden Crate,Refrigerated Reefer Van,Good,4.0,No,No,Shaded Storage,8.0,15.5,Semi-ripe,Moderate,Fair,80.5,24.4,15.7,0,Not Spoiled,6.5,12,165,3243702,3023790,219912
TXN-2026-000047,FRM-732,LOG-68,2026-12-20T19:30:00,2026-12-20,19:30:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Onitsha,Anambra,Onitsha,N/A,Dry Season,1129.9,266,22.6,6011.6,10298,Raffia Basket,Traditional Open Truck,Fair,2.0,No,Yes,Open Storage,16.8,1.4,Semi-ripe,None,Poor,47.3,33.4,41.7,1,Spoiled,74.1,197,69,2739268,710562,2028706
TXN-2026-000048,FRM-716,LOG-29,2026-12-02T06:15:00,2026-12-02,06:15:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Onitsha,Anambra,Onitsha,N/A,Dry Season,735.4,243,25.4,6172.2,11240,Sack,Covered Truck,Fair,2.0,No,No,No Storage,21.7,5.7,Ripe,Severe,Fair,55.7,20.8,28.5,0,Not Spoiled,6.3,15,228,2731320,2562720,168600
TXN-2026-000049,FRM-178,LOG-92,2026-02-16T14:45:00,2026-02-16,14:45:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Lagos (Mile 12),Lagos,Lagos,Mile 12,Dry Season,1181.5,165,27.5,4537.5,11349,Sack,Traditional Open Truck,Good,0.0,No,No,No Storage,21.4,15.1,Semi-ripe,Moderate,Fair,59.8,32.4,41.5,1,Spoiled,51.2,84,81,1872585,919269,953316
TXN-2026-000050,FRM-893,LOG-53,2026-12-14T14:00:00,2026-12-14,14:00:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Lagos (Mile 12),Lagos,Lagos,Mile 12,Dry Season,965.1,134,22.6,3028.4,11759,Sack,Covered Truck,Fair,2.0,No,No,Open Storage,25.1,10.5,Semi-ripe,Moderate,Fair,48.7,26.1,34.9,0,Not Spoiled,11.7,16,118,1575706,1387562,188144
TXN-2026-000051,FRM-786,LOG-99,2026-12-17T19:00:00,2026-12-17,19:00:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Dry Season,924.4,54,24.2,1306.8,10104,Plastic Crate,Refrigerated Reefer Van,Poor,4.0,No,Yes,Cold Storage,8.1,15.2,Semi-ripe,Severe,Fair,36.3,27.4,16.1,0,Not Spoiled,0.0,0,54,545616,545616,0
TXN-2026-000052,FRM-144,LOG-62,2026-07-06T15:15:00,2026-07-06,15:15:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,913.0,242,26.5,6413.0,17332,Raffia Basket,Traditional Open Truck,Fair,1.0,No,No,Open Storage,17.3,17.0,Ripe,Low,Poor,79.2,28.7,35.8,1,Spoiled,78.2,189,53,4194344,918596,3275748
TXN-2026-000053,FRM-592,LOG-57,2026-10-11T19:00:00,2026-10-11,19:00:00,Synthetic prototype,1.0.0,Kano (Yankaba),Kano,Kano,Yankaba,Port Harcourt (Oil Mill),Rivers,Port Harcourt,Oil Mill,Rainy Season,1274.6,71,26.6,1888.6,22121,Sack,Refrigerated Reefer Van,Good,0.0,No,Yes,Shaded Storage,11.3,6.3,Overripe,None,Fair,91.9,25.3,10.2,0,Not Spoiled,1.7,1,70,1570591,1548470,22121
TXN-2026-000054,FRM-139,LOG-46,2026-08-30T16:15:00,2026-08-30,16:15:00,Synthetic prototype,1.0.0,Gombe,Gombe,Gombe,N/A,Onitsha,Anambra,Onitsha,N/A,Rainy Season,728.5,207,22.0,4554.0,18585,Raffia Basket,Covered Truck,Good,2.0,No,No,Shaded Storage,4.7,5.2,Semi-ripe,Moderate,Fair,77.3,18.8,24.6,0,Not Spoiled,0.3,1,206,3847095,3828510,18585
TXN-2026-000055,FRM-835,LOG-28,2026-05-30T11:00:00,2026-05-30,11:00:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Ibadan (Bodija),Oyo,Ibadan,Bodija,Rainy Season,924.5,196,24.5,4802.0,18380,Raffia Basket,Covered Truck,Fair,6.0,No,No,No Storage,24.6,10.0,Unripe,Severe,Good,71.8,30.0,23.3,1,Spoiled,36.7,72,124,3602480,2279120,1323360
TXN-2026-000056,FRM-695,LOG-52,2026-03-10T05:30:00,2026-03-10,05:30:00,Synthetic prototype,1.0.0,Jos (Fadan Karshi),Plateau,Jos,Fadan Karshi,Ibadan (Bodija),Oyo,Ibadan,Bodija,Dry Season,818.4,262,26.7,6995.4,8055,Plastic Crate,Refrigerated Reefer Van,Good,4.0,Yes,No,Open Storage,17.8,5.3,Ripe,Moderate,Poor,53.0,25.9,14.3,0,Not Spoiled,5.9,15,247,2110410,1989585,120825
